Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [2525 Mini Shop],Price [2525 Mini Shop],In stock [2525 Mini Shop],Low stock [2525 Mini Shop],"Tax - ""消費税"" (8%)"
หนังหมูda-heo,10102,หนังหมูDA HEO,FROZEN,,N,,,,,,,500,3900016000018,,,Y,Y,1000,5.000,,Y
หนังหมูสไลด์,11006,หนังหมูสไลด์,FROZEN,,N,,,,,,,756,,,,Y,Y,1300,11.000,,Y
หนังไก่กรอบรสกระเพรา,10379,หนังไก่กรอบรสกระเพรา鶏皮、唐辛子シーズニング,Snak,,N,,,,,,,4104,8857124063112,,,Y,Y,250,1.000,0.000,Y
หนังไก่กรอบรสดั้งเดิม,10381,หนังไก่กรอบรสดั้งเดิม鶏皮、唐辛子シーズニング,Snak,,N,,,,,,,1710,8857124063099,,,Y,Y,250,1.000,0.000,Y
หนังไก่กรอบรสพริกปีศาจ,10383,หนังไก่กรอบรสพริกปีศาจ鶏皮、唐辛子シーズニング,Snak,,N,,,,,,,1710,8857124063310,,,Y,Y,250,0.000,0.000,Y
หนังไก่กรอบรสเกาหลี,10382,หนังไก่กรอบรสเกาหลี,Snak,,N,,,,,,,1710,8857124063303,,,Y,Y,250,0.000,0.000,Y
หนังไก่กรอบรสไข่เค็ม,10380,หนังไก่กรอบรสไข่เค็ม,Snak,,N,,,,,,,1710,8857124063228,,,Y,Y,250,0.000,0.000,Y
หม้อนึ่งข้าวเหนียว,10691,หม้อนึ่งข้าวเหนียว,เครื่องใช้ในครัว,,N,,,,,,,2080,8859797260553,,,Y,Y,3500,1.000,0.000,Y
หมี่โคราชพร้อมนำผัดสำเร็จรูป,10887,หมี่โคราชพร้อมนำผัดสำเร็จรูป,บะหมี่กึ่งสำเร็จรูป,,N,,,,,,,335,8855550010410,,,Y,Y,500,2.000,0.000,Y
หมึกอบรสซีฟู้ดจัดจ้าน-(เนื้อหมึกผสมซูริมิรสซีฟู้ด)-(ตรา-เบนโตะ),10567,หมึกอบรสซีฟู้ดจัดจ้าน (เนื้อหมึกผสมซูริมิรสซีฟู้ด) (ตรา เบนโตะ),,,N,,,,,,,0,8850157403658,,,Y,Y,500,1.000,,Y
หมูยอหมูเวียดนาม,11084,หมูยอหมูเวียดนาม,,,N,,,,,,,850,,,,Y,Y,990,-4.000,,Y
หมูยอห่อใบตอง,10639,หมูยอห่อใบตอง,ของสด,,N,,,,,,,400,,,,Y,Y,500,-17.000,,Y
หมูยอหูหมูเห็ดหอมเวียดนาม,11085,หมูยอหูหมูเห็ดหอมเวียดนาม,,,N,,,,,,,850,,,,Y,Y,990,-6.000,,Y
หมูยอเนื้อเวียดนาม,11083,หมูยอเนื้อเวียดนาม,,,N,,,,,,,890,,,,Y,Y,1050,-6.000,,Y
หมูยอเวียดนาม,10460,หมูยอเวียดนาม,สินค้าเวียดนาม,,N,,,,,,,550,4570084551614,,,Y,Y,690,37.000,,Y
หมูยอเวียดนาม-1,11099,หมูยอเวียดนาม,,,N,,,,,,,850,4903050452149,,,Y,Y,990,4.000,,Y
หมูสับหยาบ,10587,หมูสับหยาบ粗挽き豚ひき肉/kg.,FROZEN,,N,,,,,,,550,25250001,,,Y,Y,650,1.000,,Y
หมูเศษ,10588,หมูเศษ,FROZEN,,N,,,,,,,250,2525002,,,Y,Y,750,1.000,0.000,Y
หวดนึ่งข้าว,10694,หวดนึ่งข้าว,เครื่องใช้ในครัว,,N,,,,,,,691,,,,Y,Y,1500,2.000,,Y
หอมเจียว-100g,10187,หอมเจียว 100g,เครื่องปรุง,,N,,,,,,,288,8858265000592,,,Y,Y,410,11.000,,Y
หอมเจียว(フライド-エシャロット-)fried-shallot,10014,หอมเจียว(フライド エシャロット )Fried Shallot,ของตากแห้ง,,N,,,,,,,950,8858771600705,,,Y,Y,1500,0.000,0.000,Y
หอมเจียวตราไร่ทิพย์,10756,หอมเจียวตราไร่ทิพย์,เครื่องปรุง,,N,,,,,,,300,8851683005774,,,Y,Y,450,0.000,0.000,Y
หอมแดงhẹ-tây,10321,หอมแดงhẹ tây,ของสด,,N,,,,,,,350,,,,Y,Y,550,-1.000,,Y
หอยดองแม่กลองตลาดไท,10459,หอยดองแม่กลองตลาดไท,ของดอง,,N,,,,,,,550,8858771600958,,,Y,Y,720,17.000,,Y
หอยแช่แข็ง(冷凍つぶ貝むき身),10427,หอยแช่แข็ง(冷凍つぶ貝むき身),FROZEN,,N,,,,,,,486,4580781010109,,,Y,Y,630,11.000,,Y
หัวหอมเจียวตราคุณชาย-100-กรัม,10309,หัวหอมเจียวตราคุณชาย 100 กรัม,อาหารแห้ง,,N,,,,,,,300,8857106850976,,,Y,Y,450,10.000,,Y
หางหมูđuôi-heo,10680,หางหมูĐUÔI HEO,FROZEN,,N,,,,,,,2450,390015000018,,,Y,Y,690,3.000,0.000,Y
หูหมู豚耳(tai-heo),10772,หูหมู豚耳(TAI HEO),FROZEN,,N,,,,,,,495,3900044000018,,,Y,Y,680,14.000,,Y
อบเชย香辛料(シナモン),10488,อบเชย香辛料(シナモン),เครื่องแกง,,N,,,,,,,140,8858265000950,,,Y,Y,230,34.000,,Y
ออริจินัลoriginal-3-in-1-coffee,10855,ออริจินัลORIGINAL 3 IN 1 COFFEE,เครื่องดื่ม,,N,,,,,,,1000,8888240000040,,,Y,Y,2500,1.000,0.000,Y
ออรีด้า,10934,ออรีด้า,,,N,,,,,,,0,8852914301306,,,Y,Y,300,100.000,0.000,Y
อิงอร-สบู่มะขามผสมทองพันชั่งแท้,10538,อิงอร สบู่มะขามผสมทองพันชั่งแท้,,,N,,,,,,,0,8858587001338,,,Y,Y,550,0.000,0.000,Y
อีโน--สีส้ม,10493,อีโน  สีส้ม,,,N,,,,,,,0,8850615100129,,,Y,Y,105,2.000,0.000,Y
อีโน-สีเขียว,10492,อีโน สีเขียว,,,N,,,,,,,0,8850615100150,,,Y,Y,105,-11.000,0.000,Y
